id,teks_laporan,tema_aktual
15,"Kunjungan nifas ketiga (KF3) dilakukan pada 4 ibu di hari ke-29 sampai 42 pasca persalinan. Pemeriksaan menunjukkan involusi uterus berjalan normal, tidak ada tanda infeksi, ASI lancar, dan bayi menyusu dengan baik. Ibu diberikan vitamin A 200.000 IU dan konseling tentang KB pasca nifas.",Pemeriksaan Nifas
16,"Pemeriksaan perkembangan anak menggunakan KPSP dilakukan untuk 15 anak usia 3-72 bulan di Posyandu Wijaya Kusuma. Hasilnya 12 anak sesuai tahap perkembangan, 2 anak perlu stimulasi tambahan pada aspek bahasa, dan 1 anak dirujuk ke rumah sakit untuk evaluasi keterlambatan perkembangan motorik dan bicara.",Deteksi Dini Tumbuh Kembang
17,"Kelas ibu hamil dilaksanakan di Posyandu Sakura dengan peserta 10 ibu hamil trimester II dan III. Materi yang disampaikan meliputi tanda bahaya kehamilan, persiapan persalinan, perencanaan KB pasca persalinan, dan senam hamil. Setiap peserta mendapatkan buku KIA dan diperiksa kehamilannya oleh bidan.",Pemeriksaan Kehamilan (ANC)
18,"Sweeping imunisasi dilakukan untuk menjangkau 12 bayi yang tidak hadir pada jadwal imunisasi rutin bulan lalu. Tim kader mengunjungi rumah-rumah dan berhasil memberikan imunisasi DPT-HB-Hib dosis 2 pada 8 bayi dan Polio 3 pada 4 bayi. Empat bayi tidak berhasil diimunisasi karena keluarga sedang tidak di rumah.",Imunisasi
19,"Operasi timbang dilaksanakan serentak di seluruh Posyandu Kelurahan Sehat Sentosa. Total 320 balita ditimbang dari 350 balita sasaran. Cakupan D/S mencapai 91.4%. Ditemukan 5 balita BGM yang langsung dirujuk ke Puskesmas. Data direkap untuk pelaporan bulanan SKDN ke Dinas Kesehatan.",Penimbangan & Pemantauan Pertumbuhan
20,"PMT lokal berupa telur rebus, pisang, dan kacang hijau dibagikan kepada 40 balita yang hadir di Posyandu Cendrawasih. Bahan PMT berasal dari swadaya masyarakat dan kebun gizi desa. Khusus untuk 5 balita dengan status gizi kurang diberikan tambahan susu dan biskuit selama 2 minggu ke depan.",Pemberian Makanan Tambahan (PMT)
21,"Sosialisasi tentang pencegahan stunting dan pentingnya 1000 Hari Pertama Kehidupan (HPK) disampaikan di Posyandu Harapan. Peserta berjumlah 35 ibu hamil dan ibu balita. Narasumber dari Puskesmas menjelaskan faktor risiko stunting, pola makan bergizi, dan pentingnya sanitasi. Dibagikan juga leaflet edukasi.",Penyuluhan Kesehatan
22,"Pelayanan pemasangan dan pencabutan implant dilaksanakan di Posyandu Melur oleh bidan koordinator KB. Sebanyak 3 akseptor melakukan pemasangan implant baru dan 2 akseptor mencabut implant yang sudah habis masa pakainya. Seluruh akseptor diberikan kartu KB dan dijadwalkan kontrol ulang 1 minggu kemudian.",Pelayanan KB
23,"Pemeriksaan nifas pertama (KF1) dilakukan dalam 6-48 jam pasca persalinan pada 3 ibu yang baru melahirkan. Pemeriksaan meliputi tanda vital, kontraksi uterus, perdarahan, kondisi perineum, mobilisasi dini, dan inisiasi menyusu dini (IMD). Satu ibu mengalami pembengkakan payudara dan diberikan edukasi perawatan payudara.",Pemeriksaan Nifas
24,"Screening perkembangan anak prasekolah usia 48-72 bulan dilaksanakan di Posyandu Jati menggunakan formulir KPSP dan tes daya lihat. Dari 12 anak yang diperiksa, 2 anak menunjukkan keterlambatan dalam aspek bicara dan bahasa, serta 1 anak memerlukan pemeriksaan mata lebih lanjut karena hasil tes daya lihat tidak optimal.",Deteksi Dini Tumbuh Kembang
25,"Pemeriksaan kehamilan risiko tinggi dilakukan pada 5 ibu hamil di Posyandu Cemara. Faktor risiko yang ditemukan: 2 ibu dengan riwayat hipertensi, 1 ibu usia di atas 35 tahun dengan grande multipara, 1 ibu dengan Hb rendah (anemia berat), dan 1 ibu dengan riwayat SC. Seluruhnya dirujuk untuk pemeriksaan di RS.",Pemeriksaan Kehamilan (ANC)
26,"Bulan Imunisasi Anak Nasional (BIAN) dilaksanakan di Posyandu Kartini dengan target 50 anak usia 9-59 bulan. Tercapai 47 anak (94%) yang mendapat imunisasi Campak/MR dan OPV. Kegiatan didukung oleh 10 kader, 2 bidan, dan 1 petugas surveilans. Tiga anak yang tidak hadir akan di-sweeping minggu depan.",Imunisasi
27,"Monitoring pertumbuhan balita stunting dilakukan secara intensif pada 8 balita pendek dan sangat pendek di Posyandu Nusa Indah. Pengukuran panjang/tinggi badan menggunakan infantometer dan microtoise menunjukkan 3 balita mengalami catch-up growth setelah 3 bulan intervensi, sementara 5 balita masih memerlukan pendampingan.",Penimbangan & Pemantauan Pertumbuhan
28,"Pemberian makanan tambahan berbasis pangan lokal untuk ibu hamil KEK dilaksanakan di Posyandu Wijaya. Sebanyak 6 ibu hamil dengan LILA kurang dari 23.5 cm mendapatkan paket PMT berupa telur, susu, kacang-kacangan, dan ikan selama 90 hari. Monitoring berat badan dilakukan setiap 2 minggu.",Pemberian Makanan Tambahan (PMT)
29,"Edukasi tentang manajemen laktasi dan teknik menyusui yang benar diberikan kepada 12 ibu menyusui di Posyandu Pelangi. Materi mencakup posisi dan perlekatan menyusui, cara mengatasi masalah menyusui, penyimpanan ASI perah, dan gizi ibu menyusui. Dilakukan juga praktik langsung dengan pantom payudara.",Penyuluhan Kesehatan
30,"Pelayanan KB metode jangka panjang (MKJP) dilaksanakan di Posyandu Sentosa bekerja sama dengan tim mobile dari Puskesmas. Layanan meliputi pemasangan IUD untuk 4 akseptor dan implant untuk 3 akseptor. Seluruh akseptor telah melalui proses informed consent dan screening kelayakan medis.",Pelayanan KB
